time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,8.33333333333334,1.0,17804.442739306785,0.0,-9027.983792704172,0.2,0.00013541666666666666,71732.26465335299,14.132976896644307,0.513574611840607,24449.650131652506,68.05737270077049
160.16130859524844,1334.6775716270718,8.33333333333334,11458.100687894434,14994.977505111925,0.0,-7965.408924265442,0.22168851053893995,0.0001354166666666668,71561.32013351456,15.441670277638456,0.47725374920823954,21069.432785146477,75.0907938870504
381.1512250712649,3176.2602089272095,8.333333333333337,29105.601822852208,12389.4932513895,0.0,-7005.670384152902,0.25161422839506714,0.0001354166666666667,71354.25335988328,16.64448695507233,0.4469239559951195,17839.030832003933,84.68111157286279
451.0937780554277,3759.1148171285663,8.333333333333336,35131.05369015313,11779.946233898923,0.0,-6781.899469582462,0.2610856157783392,0.00013541666666666666,71293.35767373651,16.918645521559384,0.4406390800082829,17061.645260055615,87.68854069539462
451.0937780554277,3759.1148171285663,8.333333333333336,35131.05369015313,11779.946233898923,0.0,-6781.899469582462,0.2610856157783392,0.00013541666666666666,71293.35767373651,16.918645521559384,0.4406390800082829,17061.645260055615,87.68854069539462
778.1886932561695,6484.905777134748,8.333333333333336,66081.48577384558,9823.399593989565,0.0,-6065.101302675593,0.3053797188784396,0.0001354166666666667,71029.68314106835,17.57654335131208,0.4278476480843977,14458.462484947533,101.57433671224162
1229.5129152167665,10245.940960139722,8.333333333333334,116145.54387653199,8570.386997271977,0.0,-5582.266908005759,0.36649654060227044,0.0001354166666666667,70701.29575479352,17.147900167532217,0.4433561811270604,12569.11907619516,120.24308113524813
1372.3554883571612,11436.295736309681,8.333333333333332,133731.831445744,8370.11534332634,0.0,-5510.718228234349,0.38583980571503235,0.00013541666666666663,70601.18978254724,16.859201018411966,0.45289325593676416,12209.070126377743,126.03147997598322
1372.3554883571612,11436.295736309681,8.333333333333332,133731.831445744,8370.11534332634,0.0,-5510.718228234349,0.38583980571503235,0.00013541666666666663,70601.18978254724,16.859201018411966,0.45289325593676416,12209.070126377743,126.03147997598322
1761.2389795364406,14676.991496137009,8.333333333333334,185754.66047663195,8089.6080460641315,0.0,-5413.784704494854,0.43850111181222645,0.0001354166666666667,70333.97442252631,15.460180072860307,0.49401647504737595,11564.056792628187,141.4927097008589
2297.818825120695,19148.49020933912,8.333333333333329,267231.5560158623,8026.405011334922,0.0,-5451.625965064951,0.5111629659017608,0.00013541666666666658,69967.80151552602,13.036943374616214,0.5713330268821174,11118.924111401446,162.09903383098683
2467.6445116428386,20563.704263690324,8.33333333333333,295296.88447358314,8033.196614880887,0.0,-5469.357613290522,0.5341601942849677,0.00013541666666666658,69850.61329237474,12.172188052844383,0.6007144136098628,11025.8880128596,168.44210711069562
2467.6445116428386,20563.704263690324,8.33333333333333,295296.88447358314,8033.196614880887,0.0,-5469.357613290522,0.5341601942849677,0.00013541666666666658,69850.61329237474,12.172188052844383,0.6007144136098628,11025.8880128596,168.44210711069562
2794.7394268435805,23289.495223696504,8.333333333333332,352354.1075284328,8044.4606460238165,0.0,-5512.997083524516,0.5784542973850682,0.0001354166666666666,69624.32425516231,10.552968036288817,0.6598893200441246,10866.563637298512,180.41248453081272
3246.063648804178,27050.530406701477,8.333333333333334,437399.4779572283,8120.065103300883,0.0,-5582.922515434928,0.639571119108899,0.0001354166666666666,69308.8879211811,8.131767889811737,0.7589602337735144,10744.208171995468,196.38747814768624
3388.9062219445723,28240.885182871432,8.33333333333334,465802.1633669515,8146.870210708996,0.0,-5612.215211139784,0.6589143842216607,0.00013541666666666682,69208.18867694814,7.353712830833208,0.7940435286518749,10715.69222346236,201.3103653791
3388.9062219445723,28240.885182871432,8.33333333333334,465802.1633669515,8146.870210708996,0.0,-5612.215211139784,0.6589143842216607,0.00013541666666666682,69208.18867694814,7.353712830833208,0.7940435286518749,10715.69222346236,201.3103653791
3549.067530539821,29575.562754498504,8.333333333333336,498478.6890279088,8176.282265430326,0.0,-5636.582466915445,0.6806028947606007,0.0001354166666666666,69094.70395677202,6.436128481257081,0.837542853650768,10686.641011004413,206.75274127059586
